Statistic,Player,Team,Value,Rank,Year
Base on Balls,Dummy Hoy,Chicago,86.0,,1901
Batting Average,Nap Lajoie,Philadelphia,0.426,,1901
Doubles,Nap Lajoie,Philadelphia,48.0,,1901
Hits,Nap Lajoie,Philadelphia,232.0,,1901
Home Runs,Nap Lajoie,Philadelphia,14.0,,1901
On Base Percentage,Nap Lajoie,Philadelphia,0.463,,1901
RBI,Nap Lajoie,Philadelphia,125.0,,1901
Runs,Nap Lajoie,Philadelphia,145.0,,1901
Slugging Average,Nap Lajoie,Philadelphia,0.643,,1901
Stolen Bases,Frank Isbell,Chicago,52.0,,1901
Total Bases,Nap Lajoie,Philadelphia,350.0,,1901
Triples,Bill Keister,Baltimore,21.0,,1901
Triples,Jimmy Williams,Baltimore,21.0,,1901
1901 A.L. History | 1901 N.L. History | Year-by-Year History,1901 A.L. History | 1901 N.L. History | Year-by-Year History,1901 A.L. History | 1901 N.L. History | Year-by-Year History,,,1901
Complete Games,Joe McGinnity,Baltimore,39.0,,1901
ERA,Cy Young,Boston,1.62,,1901
Games,Joe McGinnity,Baltimore,48.0,,1901
Saves,Bill Hoffer,Cleveland,3.0,,1901
Shutouts,Clark Griffith,Chicago,5.0,,1901
Shutouts,Cy Young,Boston,5.0,,1901
Strikeouts,Cy Young,Boston,158.0,,1901
Winning Percentage,Clark Griffith,Chicago,0.774,,1901
Wins,Cy Young,Boston,33.0,,1901
1901 A.L. History | 1901 N.L. History | Year-by-Year History,1901 A.L. History | 1901 N.L. History | Year-by-Year History,1901 A.L. History | 1901 N.L. History | Year-by-Year History,,,1901
1901 American League Team Standings,1901 American League Team Standings,1901 American League Team Standings,,,1901
Team | Roster,W,L,,,1901
Chicago White Sox,83,53,0.61,0.0,1901
Boston Americans,79,57,0.581,4.0,1901
Detroit Tigers,74,61,0.548,,1901
Philadelphia Athletics,74,62,0.544,9.0,1901
Baltimore Orioles,68,65,0.511,,1901
Washington Senators,61,72,0.459,,1901
Cleveland Blues,54,82,0.397,29.0,1901
Milwaukee Brewers,48,89,0.35,,1901
Team | Roster,W,L,,,1901
1901 American League Team Standings,1901 American League Team Standings,1901 American League Team Standings,,,1901
Base on Balls,Chicago,475,,,1901
Batting Average,Baltimore,.294,,,1901
Doubles,Philadelphia,239,,,1901
Hits,Philadelphia,1409,,,1901
Home Runs,Boston,37,,,1901
On Base Percentage,Baltimore,.353,,,1901
